               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097496,            0.035792,             0.02754,             0.17589,             0.26367,             0.16926,            0.055179,            0.071398,            0.028294,            0.020333,             0.07037,           0.0032922,           0.0032922
                   1,            0.074468,            0.026151,            0.020536,             0.27232,             0.42812,             0.29083,            0.088867,            0.067305,            0.020384,            0.017483,            0.040152,           0.0064069,           0.0064069
                   2,            0.070694,            0.023138,              0.0187,             0.39547,             0.60917,             0.47248,             0.16227,            0.062201,               0.019,            0.015927,           0.0097131,           0.0093016,           0.0093016
                   3,            0.064543,            0.021479,            0.017188,             0.69373,             0.62843,              0.6387,             0.23394,            0.055591,            0.018077,            0.014911,             0.00901,             0.00901,             0.00901
                   4,            0.059825,            0.020185,             0.01622,             0.67389,             0.64976,             0.64512,              0.2623,            0.052652,            0.018004,            0.014363,             0.00901,             0.00901,             0.00901
                   5,            0.056814,            0.019316,             0.01557,             0.86479,             0.78812,             0.85287,             0.41895,            0.050494,            0.018146,            0.013727,             0.00868,             0.00868,             0.00868
                   6,            0.054864,            0.019033,            0.015165,             0.88702,             0.79913,             0.87044,             0.43785,            0.048054,            0.017276,            0.013164,             0.00835,             0.00835,             0.00835
                   7,             0.05288,            0.019097,            0.014587,             0.89374,             0.81578,             0.88526,             0.45042,            0.046749,            0.017138,            0.013109,             0.00802,             0.00802,             0.00802
                   8,            0.051527,            0.018694,            0.014429,             0.90105,             0.81084,             0.88478,             0.44657,            0.046428,            0.016824,            0.012825,             0.00769,             0.00769,             0.00769
                   9,            0.051104,            0.018006,            0.014244,             0.90424,             0.79732,             0.87964,             0.48456,            0.045078,            0.016496,            0.012625,             0.00736,             0.00736,             0.00736
                  10,            0.050397,            0.018251,            0.014079,             0.91797,             0.83148,             0.90231,             0.49968,            0.043256,            0.016445,            0.012525,             0.00703,             0.00703,             0.00703
                  11,            0.048986,             0.01769,            0.014029,             0.91764,             0.82323,             0.89525,             0.50486,            0.042715,            0.016169,            0.012262,              0.0067,              0.0067,              0.0067
                  12,            0.048264,            0.017332,            0.013831,             0.93254,             0.82833,             0.90111,             0.51175,            0.042352,            0.016109,            0.012216,             0.00637,             0.00637,             0.00637
                  13,            0.048098,            0.017811,            0.013815,             0.91318,             0.82192,             0.89579,               0.514,            0.042022,            0.016042,            0.012188,             0.00604,             0.00604,             0.00604
                  14,             0.04735,            0.017386,            0.013543,              0.9125,             0.83907,             0.90246,             0.51754,            0.041843,            0.016282,            0.012004,             0.00571,             0.00571,             0.00571
                  15,            0.046698,            0.016982,            0.013348,             0.91871,             0.82605,             0.89636,             0.52415,            0.041312,            0.015835,            0.011925,             0.00538,             0.00538,             0.00538
                  16,            0.046436,            0.017526,            0.013441,             0.92772,             0.83717,             0.90405,             0.52307,            0.041079,            0.015861,            0.011804,             0.00505,             0.00505,             0.00505
                  17,            0.045834,            0.016802,            0.013364,             0.93486,             0.83794,             0.90668,             0.53573,            0.041544,            0.015799,            0.011784,             0.00472,             0.00472,             0.00472
                  18,            0.045834,            0.017035,            0.013423,              0.9145,             0.83456,             0.90257,             0.53724,            0.041152,            0.015806,            0.011744,             0.00439,             0.00439,             0.00439
                  19,            0.045248,             0.01727,            0.013222,             0.93041,             0.83956,              0.9117,             0.54686,            0.040814,            0.015677,            0.011722,             0.00406,             0.00406,             0.00406
                  20,            0.045031,             0.01692,            0.013193,             0.92498,             0.83683,             0.90456,             0.53987,            0.040237,            0.015606,            0.011621,             0.00373,             0.00373,             0.00373
                  21,            0.044814,            0.016581,            0.013096,             0.93011,             0.84537,             0.91084,             0.54506,            0.040118,            0.015613,            0.011597,              0.0034,              0.0034,              0.0034
                  22,            0.044521,            0.016444,            0.012944,             0.93286,             0.83797,             0.91118,             0.54893,            0.040042,             0.01559,            0.011616,             0.00307,             0.00307,             0.00307
                  23,            0.044804,            0.016934,            0.013184,             0.92954,             0.82958,             0.90599,             0.55156,            0.039653,            0.015424,            0.011467,             0.00274,             0.00274,             0.00274
                  24,            0.043664,            0.016661,            0.012907,             0.93412,             0.84324,             0.91292,             0.55368,            0.039644,            0.015447,            0.011522,             0.00241,             0.00241,             0.00241
                  25,            0.043781,             0.01673,            0.012748,             0.93619,             0.84599,             0.91776,             0.55396,            0.040193,            0.015427,            0.011479,             0.00208,             0.00208,             0.00208
                  26,            0.043654,            0.016892,            0.012758,             0.94102,             0.84395,             0.91611,             0.55578,            0.040149,             0.01545,            0.011425,             0.00175,             0.00175,             0.00175
                  27,            0.043347,            0.016175,            0.012928,             0.94253,             0.84431,              0.9158,             0.55789,            0.039462,            0.015346,            0.011383,             0.00142,             0.00142,             0.00142
                  28,            0.043393,            0.016664,            0.013097,             0.93764,             0.84648,             0.91864,             0.55863,            0.039279,            0.015315,            0.011345,             0.00109,             0.00109,             0.00109
                  29,            0.043005,            0.016153,            0.012832,             0.93935,             0.84211,             0.91693,             0.55731,            0.039222,            0.015388,            0.011362,             0.00076,             0.00076,             0.00076
